datetime,timestamp,open,high,low,close,volume
2024-01-01 00:00:00+08:00,1704038400000,42489.1,42740.3,42465.4,42630.0,12699928.0
2024-01-01 01:00:00+08:00,1704042000000,42630.0,42697.9,42508.5,42652.0,7644215.0
2024-01-01 02:00:00+08:00,1704045600000,42652.0,42766.7,42570.2,42701.7,6020605.0
2024-01-01 03:00:00+08:00,1704049200000,42701.7,42741.5,42625.0,42659.9,5751237.0
2024-01-01 04:00:00+08:00,1704052800000,42659.9,42723.6,42544.1,42599.1,6818913.0
2024-01-01 05:00:00+08:00,1704056400000,42599.1,42716.8,42558.2,42559.0,4339741.0
2024-01-01 06:00:00+08:00,1704060000000,42559.0,42629.8,42112.3,42294.8,139876304.0
2024-01-01 07:00:00+08:00,1704063600000,42294.8,42380.1,42088.0,42314.0,13785573.0
2024-01-01 08:00:00+08:00,1704067200000,42314.0,42598.0,42289.6,42503.5,9296675.0
2024-01-01 09:00:00+08:00,1704070800000,42503.5,42825.4,42462.0,42647.9,10820993.0
2024-01-01 10:00:00+08:00,1704074400000,42647.9,42676.9,42532.8,42620.5,5828437.0
2024-01-01 11:00:00+08:00,1704078000000,42620.5,42630.0,42271.4,42369.6,10143790.0
2024-01-01 12:00:00+08:00,1704081600000,42369.6,42438.8,42236.1,42431.8,6982751.0
2024-01-01 13:00:00+08:00,1704085200000,42431.8,42439.0,42212.0,42272.6,5694378.0
2024-01-01 14:00:00+08:00,1704088800000,42272.6,42461.1,42239.1,42423.3,6019574.0
2024-01-01 15:00:00+08:00,1704092400000,42423.3,42535.9,42421.7,42529.9,5167429.0
2024-01-01 16:00:00+08:00,1704096000000,42529.9,42595.1,42489.3,42588.1,5505634.0
2024-01-01 17:00:00+08:00,1704099600000,42588.1,42731.5,42570.0,42688.8,7225231.0
2024-01-01 18:00:00+08:00,1704103200000,42688.8,42794.4,42663.2,42728.7,7205565.0
2024-01-01 19:00:00+08:00,1704106800000,42728.7,42800.0,42638.0,42727.7,6485557.0
2024-01-01 20:00:00+08:00,1704110400000,42727.7,42824.3,42651.3,42681.9,7351228.0
2024-01-01 21:00:00+08:00,1704114000000,42681.9,42787.5,42650.0,42754.0,3953549.0
2024-01-01 22:00:00+08:00,1704117600000,42754.0,42755.8,42615.0,42645.5,5301506.0
2024-01-01 23:00:00+08:00,1704121200000,42645.5,42886.9,42617.6,42817.0,9804121.0
2024-01-02 00:00:00+08:00,1704124800000,42817.0,42898.9,42693.1,42759.7,11921791.0
2024-01-02 01:00:00+08:00,1704128400000,42759.7,42860.5,42735.1,42847.0,5488528.0
2024-01-02 02:00:00+08:00,1704132000000,42847.0,43263.3,42847.0,43148.0,28585472.0
2024-01-02 03:00:00+08:00,1704135600000,43148.0,43592.8,43133.3,43556.4,25858533.0
2024-01-02 04:00:00+08:00,1704139200000,43556.4,43907.9,43555.5,43753.2,36167989.0
2024-01-02 05:00:00+08:00,1704142800000,43753.2,43853.0,43531.9,43679.7,16612332.0
2024-01-02 06:00:00+08:00,1704146400000,43679.7,43723.8,43427.3,43584.0,163699567.0
2024-01-02 07:00:00+08:00,1704150000000,43584.0,44264.3,43584.0,44230.2,59994425.0
2024-01-02 08:00:00+08:00,1704153600000,44230.2,45360.2,44201.2,45179.8,75368176.0
2024-01-02 09:00:00+08:00,1704157200000,45179.8,45482.7,44750.0,44926.3,46234980.0
2024-01-02 10:00:00+08:00,1704160800000,44926.3,45426.0,44926.3,45420.0,28845412.0
2024-01-02 11:00:00+08:00,1704164400000,45420.0,45565.0,45168.6,45435.0,33471324.0
2024-01-02 12:00:00+08:00,1704168000000,45435.0,45484.4,45196.7,45218.7,22139452.0
2024-01-02 13:00:00+08:00,1704171600000,45218.7,45365.9,45154.3,45218.1,16707169.0
2024-01-02 14:00:00+08:00,1704175200000,45218.1,45346.0,45163.9,45202.8,10108855.0
2024-01-02 15:00:00+08:00,1704178800000,45202.8,45833.5,45202.5,45495.4,27724949.0
2024-01-02 16:00:00+08:00,1704182400000,45495.4,45904.0,45365.0,45816.7,30827122.0
2024-01-02 17:00:00+08:00,1704186000000,45816.7,45943.6,45668.8,45730.6,18832189.0
2024-01-02 18:00:00+08:00,1704189600000,45730.6,45772.8,45476.8,45655.7,16263032.0
2024-01-02 19:00:00+08:00,1704193200000,45655.7,45767.6,45258.2,45485.7,18677273.0
2024-01-02 20:00:00+08:00,1704196800000,45485.7,45654.3,45323.2,45355.2,13229560.0
2024-01-02 21:00:00+08:00,1704200400000,45355.2,45758.3,45319.3,45686.3,18320184.0
2024-01-02 22:00:00+08:00,1704204000000,45686.3,45850.2,45029.0,45293.7,44521452.0
2024-01-02 23:00:00+08:00,1704207600000,45293.7,45359.9,44865.0,45214.9,36167084.0
2024-01-03 00:00:00+08:00,1704211200000,45214.9,45447.9,44920.9,45393.4,27061405.0
2024-01-03 01:00:00+08:00,1704214800000,45393.4,45422.1,44979.9,45001.2,14965333.0
2024-01-03 02:00:00+08:00,1704218400000,45001.2,45303.0,44969.6,45188.9,14556751.0
2024-01-03 03:00:00+08:00,1704222000000,45188.9,45284.8,44791.1,45074.1,25305513.0
2024-01-03 04:00:00+08:00,1704225600000,45074.1,45220.7,44770.3,44825.2,16638832.0
2024-01-03 05:00:00+08:00,1704229200000,44825.2,45155.0,44607.9,45155.0,22159760.0
2024-01-03 06:00:00+08:00,1704232800000,45155.0,45336.5,44871.2,45006.7,234105432.0
2024-01-03 07:00:00+08:00,1704236400000,45006.7,45082.4,44820.3,44979.7,17987730.0
2024-01-03 08:00:00+08:00,1704240000000,44979.7,45250.0,44895.8,45168.1,12229817.0
2024-01-03 09:00:00+08:00,1704243600000,45168.1,45376.2,45134.3,45347.9,8634890.0
2024-01-03 10:00:00+08:00,1704247200000,45347.9,45463.3,45252.3,45312.7,10935217.0
2024-01-03 11:00:00+08:00,1704250800000,45312.7,45345.6,45190.9,45297.8,7361232.0
2024-01-03 12:00:00+08:00,1704254400000,45297.8,45309.7,45144.0,45218.7,5101716.0
2024-01-03 13:00:00+08:00,1704258000000,45218.7,45329.9,45150.0,45200.5,6706017.0
2024-01-03 14:00:00+08:00,1704261600000,45200.5,45403.2,45185.0,45362.7,4910344.0
2024-01-03 15:00:00+08:00,1704265200000,45362.7,45421.0,44960.2,45035.7,17004621.0
2024-01-03 16:00:00+08:00,1704268800000,45035.7,45238.2,45023.7,45224.0,11535693.0
2024-01-03 17:00:00+08:00,1704272400000,45224.0,45582.2,45207.5,45378.7,14076747.0
2024-01-03 18:00:00+08:00,1704276000000,45378.7,45420.0,45062.4,45175.6,12345164.0
2024-01-03 19:00:00+08:00,1704279600000,45175.6,45205.3,43510.0,43722.7,81269573.0
2024-01-03 20:00:00+08:00,1704283200000,43722.7,43738.8,40322.0,42795.5,135743995.0
2024-01-03 21:00:00+08:00,1704286800000,42795.5,42820.7,42313.3,42540.5,34513057.0
2024-01-03 22:00:00+08:00,1704290400000,42540.5,42546.4,42064.2,42204.1,29448509.0
2024-01-03 23:00:00+08:00,1704294000000,42204.1,43030.0,42200.9,43008.8,31540806.0
2024-01-04 00:00:00+08:00,1704297600000,43008.8,43585.0,42799.6,43009.2,46903970.0
